Gene_name	CDS_length
Cflo_00164--NA	787
Cflo_00187--FBpp0110217_DROME	2703
Cflo_00189--NA	934
Cflo_00190--NA	928
Cflo_00194--XP_394154.3_APIME	1736
Cflo_00283--NA	743
Cflo_00285--NA	710
Cflo_00286--NA	760
Cflo_00150--NA	746
Cflo_00152--NA	678
Cflo_00155--NA	858
Cflo_01122--NA	1036
Cflo_01128--NA	1105
Cflo_01111--BGIBMGA003525-PA_BOMMO	1098
Cflo_01113--NA	718
Cflo_01114--NA	1642
Cflo_01805--NA	542
Cflo_01807--NA	445
Cflo_01812--NA	2203
Cflo_01813--XP_001603240.1_NASVI	1636
Cflo_01827--NA	546
Cflo_01747--NA	337
Cflo_01787--NA	811
Cflo_02446--NA	1188
Cflo_02447--NA	890
Cflo_02449--NA	944
Cflo_03060--NA	724
Cflo_03042--NA	1005
Cflo_03055--NA	264
Cflo_03056--NA	336
Cflo_04303--NA	806
Cflo_04306--NA	474
Cflo_04317--NA	1619
Cflo_04991--NA	915
Cflo_05210--NA	2288
Cflo_05211--NA	477
Cflo_05214--NA	690
Cflo_05313--NA	1138
Cflo_05314--NA	480
Cflo_05315--NA	600
Cflo_05316--NA	1353
Cflo_04878--XP_001600298.1_NASVI	1544
Cflo_05287--NA	1707
Cflo_05201--NA	926
Cflo_05207--NA	1114
Cflo_06012--NA	1247
Cflo_06015--NA	291
Cflo_06020--NA	916
Cflo_06024--XP_623622.1_APIME	2308
Cflo_06339--NA	770
Cflo_06340--NA	492
Cflo_06342--NA	852
Cflo_06343--NA	2224
Cflo_07679--NA	481
Cflo_07685--NA	928
Cflo_07691--NA	465
Cflo_07693--NA	856
Cflo_07694--NA	794
Cflo_07290--NA	2387
Cflo_07291--NA	627
Cflo_07715--NA	1990
Cflo_07716--NA	496
Cflo_08216--NA	701
Cflo_09135--NA	1950
Cflo_09138--XP_001600939.1_NASVI	1212
Cflo_10069--XP_001120929.1_APIME	2498
Cflo_08107--NA	1218
Cflo_08105--NA	1026
Cflo_09145--NA	1110
Cflo_10488--XP_396548.3_APIME	2001
Cflo_08505--NA	1373
Cflo_09245--NA	730
Cflo_11439--NA	337
Cflo_11432--NA	626
Cflo_10773--NA	349
Cflo_11421--NA	686
Cflo_12548--NA	713
